"version","version_season","season","castaway","castaway_id","score_overall","score_outwit","score_outplay","score_outlast","score_result","score_jury","score_vote","score_adv","score_inf","r_score_chal_all","r_score_chal_immunity","r_score_chal_reward","r_score_chal_tribal","r_score_chal_tribal_immunity","r_score_chal_tribal_reward","r_score_chal_individual","r_score_chal_individual_immunity","r_score_chal_individual_reward","r_score_chal_team","r_score_chal_team_immunity","r_score_chal_team_reward","r_score_chal_duel","p_score_chal_all","p_score_chal_immunity","p_score_chal_reward","p_score_chal_tribal","p_score_chal_tribal_immunity","p_score_chal_tribal_reward","p_score_chal_individual","p_score_chal_individual_immunity","p_score_chal_individual_reward","p_score_chal_team","p_score_chal_team_immunity","p_score_chal_team_reward","p_score_chal_duel","r_score_vote","p_score_vote","n_votes_received","n_successful_boots","p_successful_boot","n_tribals","n_tribals_with_vote","r_score_adv","p_score_adv","n_adv_played","n_adv_not_played","n_adv_found","n_idols_found","n_voted_out_with_adv","n_voted_out_with_idol"
"US","US02",2,"Kimmi","US0021",0.297384973183409,0.441818298602129,0.116477893427571,0.285714285714286,0.285714285714286,0,0.466666666666667,0,0.694949884229318,0.5,0.5,-0.5,0.5,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,0.568913174997831,0.596907629015699,0.420298057381863,0.582389467137856,0.61174955700765,0.412749901989019,NA,NA,NA,NA,NA,NA,NA,0.125,0.045904375819721,6,1,0.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Michael","US0022",0.432061397780647,0.714859865701525,0.129915314523932,0.357142857142857,0.357142857142857,0,1,0,0.716199552338415,1,0.5,0,1,0.5,0,NA,NA,NA,NA,NA,NA,NA,0.626455409127781,0.596907629015699,0.506539426623858,0.649576572619661,0.61174955700765,0.510330431067818,NA,NA,NA,NA,NA,NA,NA,0.267857142857143,0.0983665196136879,0,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Jeff","US0023",0.517005783629915,0.582271750604221,0.518418849389327,0.428571428571429,0.428571428571429,0,0.596858638743456,0,0.946141437441644,0.9,0.4,0,1,0.5,0,-0.1,-0.1,NA,NA,NA,NA,NA,0.615126356873478,0.580036976144414,0.506539426623858,0.649576572619661,0.61174955700765,0.510330431067818,0.485629418581743,0.483589076337059,NA,NA,NA,NA,NA,0.226190476190476,0.0830650610071142,7,2,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Alicia","US0024",0.507888820592966,0.536458544229315,0.477684676337465,0.5,0.5,0,0.641732283464567,0,0.718641341656773,0.68,0.29,-0.11,1,0.5,0,-0.32,-0.21,-0.11,NA,NA,NA,NA,0.589866581642413,0.561309050371626,0.487450323419673,0.649576572619661,0.61174955700765,0.510330431067818,0.434711702266916,0.454774872537834,0.445400005658801,NA,NA,NA,NA,0.323412698412698,0.118768464422453,5,2,0.5,4,4,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Jerri","US0025",0.584741909467816,0.596568548528932,0.582286395425573,0.571428571428571,0.571428571428571,0,0.59390243902439,0,0.998724430055791,0.3,-0.84,1.64,-1,-0.5,0,0.55,-0.34,0.89,0.75,NA,0.75,NA,0.545404512923494,0.368544407871312,0.767265272540439,0.374297629579753,0.4063940816813,0.510330431067818,0.634283586887029,0.421037659872307,0.866873434319178,0.719509806558228,NA,0.721219890732465,NA,0.483134920634921,0.177424055747652,12,4,0.666666666666667,6,6,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Nick","US0026",0.529444021830861,0.382134554134083,0.612443524400282,0.642857142857143,0.642857142857143,0,0.641463414634146,0,0.204676156056699,1.16,1.02,-0.36,1,0.5,0,0.41,0.52,-0.11,-0.25,NA,-0.25,NA,0.644353056388133,0.681121646709316,0.444241345016846,0.649576572619661,0.61174955700765,0.510330431067818,0.603160262345437,0.643286117853683,0.445400005658801,0.406807771079459,NA,0.406028274833848,NA,0.521825396825397,0.191632553025184,4,3,0.5,6,6,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Amber","US0027",0.475688150606853,0.415283904357742,0.317629581926807,0.714285714285714,0.714285714285714,0,0.622057834566241,0,0.347516623582073,-2.17,-1.15,-0.53,-1,-0.5,0,-0.92,-0.65,-0.28,-0.25,NA,-0.25,NA,0.267178542868135,0.319129013810566,0.415202388081707,0.374297629579753,0.4063940816813,0.510330431067818,0.30346257001357,0.343311673007734,0.363309638327569,0.406807771079459,NA,0.406028274833848,NA,0.734126984126984,0.269597127830107,6,5,0.625,8,8,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Rodger","US0028",0.491469089413498,0.405585688003576,0.311735094992605,0.785714285714286,0.785714285714286,0,0.545665829145729,0,0.44250924476904,-0.57,-0.35,-0.73,1,0.5,0,-1.32,-0.85,-0.48,-0.25,NA,-0.25,NA,0.442364028570282,0.450961243582491,0.381634071846011,0.649576572619661,0.61174955700765,0.510330431067818,0.22727472558584,0.296260997198171,0.274442729017947,0.406807771079459,NA,0.406028274833848,NA,0.689444444444444,0.253188135076772,5,4,0.5,8,8,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Elisabeth","US0029",0.546808958155615,0.537168592027961,0.249328880671911,0.857142857142857,0.857142857142857,0,0.518922181198523,0,0.925691671428997,-1.07,-0.6,-0.98,1,0.5,0,-1.82,-1.1,-0.73,-0.25,NA,-0.25,NA,0.384436170369105,0.408408738668795,0.340919930181153,0.649576572619661,0.61174955700765,0.510330431067818,0.149266957684973,0.24200612309235,0.180966695061598,0.406807771079459,NA,0.406028274833848,NA,0.828628117913832,0.304301252316037,5,4,0.444444444444444,9,9,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Keith","US0030",0.625116972031898,0.527208760407861,0.45220679765775,0.928571428571429,0.928571428571429,0,0.564240633139651,0,0.816961479460118,-1.41,0.07,-0.98,-1,-0.5,0,-0.16,0.57,-0.73,-0.25,NA,-0.25,NA,0.346390740129609,0.523480433852101,0.340919930181153,0.374297629579753,0.4063940816813,0.510330431067818,0.47168408967725,0.655492530168131,0.180966695061598,0.406807771079459,NA,0.406028274833848,NA,1.27715419501134,0.46901572918027,8,9,0.9,11,10,NA,NA,NA,NA,NA,NA,NA,NA
"US","US02",2,"Colby","US0031",0.897123395976669,0.83799089379132,0.87309012820047,1,1,0.428571428571429,0.913822658563192,0,0.984550929318128,4.59,3.07,2.02,-1,-0.5,0,4.84,3.57,1.27,0.75,NA,0.75,NA,0.917945023300029,0.913049523716505,0.814656786210119,0.374297629579753,0.4063940816813,0.510330431067818,0.99778825285565,0.99125735522003,0.943671388151104,0.719509806558228,NA,0.721219890732465,NA,2.068430335097,0.759600027673634,5,10,0.909090909090909,11,11,NA,NA,NA,NA,NA,NA,NA,NA
