,us01,us02,us03,us04,us05,us06,us07,us08,us09,us10,us11,us12,us13,us14,us15,us16,us17,us18,us19,us20,us21,us22,us23,us24,us25,us26,us27,us28,us29,us30,us31,us32,us33,us34,us35,us36,us37,us38,us39,us40,us41,us42,us43,us44,us45,us46,us47,us48,us49
us11,0.18039612829090235,0.13079458772496497,0.06937602993131596,0.20662367277656035,0.12706767696733923,0.1375613266885902,0.11672693045720084,0.05611958580845617,0.10550482131989758,0.08511470514282517,0.0,0.14703331481815513,0.1337492688109699,0.12436062843103224,0.09676620010115224,0.12302777961406071,0.20109277178111726,0.18820204303636617,0.13043795158622593,0.12562770137407256,0.19195902103695853,0.056119585808456156,0.1708440533683144,0.201874926244397,0.21729390496805157,0.295832230697405,0.23295475213267539,0.12170935172208927,0.26459992109105696,0.20138914221548834,0.22319475364755442,0.2769923419577887,0.18315128031360509,0.10629767915625181,0.21236369633423394,0.30253737289324795,0.204735613395952,0.23724671973875755,0.21089740346817823,0.23025534637195638,0.3475782910094405,0.20539768405894948,0.16204530402191714,0.19187945530996364,0.2255942260621971,0.16265326620150874,0.25639221491221004,0.19349743902853608,0.07654655446197431
us12,0.1784278942042801,0.1672363657091993,0.18743941660024355,0.15897381035906238,0.24428421776567855,0.1896842000325818,0.19473496275534283,0.20029653896590552,0.1634662700627596,0.1581420999692087,0.14703331481815513,0.0,0.17049130168608978,0.26708388431499663,0.2245718758768387,0.23118030486422886,0.17049130168608978,0.2271907898812333,0.27250132867360183,0.19838273583289248,0.3547025330522875,0.17410739892195928,0.2533295475548966,0.3302213429873076,0.30181796056324756,0.2827973683413644,0.28253438740222475,0.1722871284319604,0.26801561892761966,0.19510909332739923,0.26801561892761966,0.2296948611588924,0.22386676500545707,0.14689084622436843,0.2327770991198263,0.17383041704169294,0.21948109654175335,0.22621371113535566,0.2850083063027569,0.2418717987856701,0.3287507154056259,0.3064129385141706,0.3591955907067133,0.18350877807779878,0.28928923274503965,0.25006598152345993,0.24392831158238817,0.3472981537111225,0.24872125686206448
us13,0.08932367407845936,0.19384998407940204,0.08838834764831845,0.20521061877292132,0.18783655142013442,0.2814397228294076,0.2477679713443339,0.18005033780213017,0.27216225430449387,0.08314794192830981,0.1337492688109699,0.17049130168608978,0.0,0.16171793977136784,0.1777120217267778,0.10606601717798214,0.06734350297014738,0.24903183275853333,0.2600965433556758,0.15245820811297253,0.23479568927516803,0.15386119775818397,0.2903253239157465,0.22017343095599237,0.22447834323382462,0.3579035688910375,0.3409087469198527,0.19174191817889186,0.35626342654149856,0.14456367932207645,0.3000628690665162,0.20321690282595278,0.23313369414532137,0.1846334373098207,0.19637320619634185,0.26326686417374595,0.14225983582429713,0.2090497548557309,0.22726303828442523,0.22632697536536445,0.31903984532107327,0.3114637012369316,0.25043365167023557,0.25326148371440266,0.1814000522380379,0.07183306983482388,0.24946088548410583,0.1979898987322333,0.11223555556813639
us14,0.165926908707002,0.1355413607039095,0.12436062843103224,0.23602136225160855,0.2090497548557309,0.18766449088505507,0.13242448564143797,0.1828161196156568,0.17075281936602268,0.19013315671904946,0.12436062843103224,0.26708388431499663,0.16171793977136784,0.0,0.15876339912196732,0.08799551054765926,0.2290614427415152,0.15325681701128543,0.250425389275779,0.17013587764263624,0.21711801974550438,0.16364433849695156,0.19626757827143484,0.06547285010986553,0.20941958770855554,0.2522542240088712,0.23695668868174954,0.18323044766460936,0.25005125870372263,0.20287230269756898,0.18271959956072492,0.22503953909190916,0.1748250707698288,0.19637320619634185,0.13906433363335435,0.30746103799790514,0.2302553463719564,0.20979008492379458,0.18575582902598986,0.1736868038770326,0.20413499337825924,0.32320347012345274,0.23275598214057192,0.1736868038770326,0.2031197389230382,0.16375695138907503,0.33201335678910476,0.27878081805658794,0.10999438818457406
us15,0.22924142597515204,0.1573753527742849,0.09676620010115224,0.19609786698211965,0.15825723197984637,0.17504088907495535,0.19260292930168815,0.1477791652630839,0.18074822152111464,0.17397071600621405,0.09676620010115224,0.2245718758768387,0.1777120217267778,0.15876339912196732,0.0,0.12771056164128824,0.20236145459368457,0.20521061877292135,0.14783502318684735,0.16335114992049324,0.1365363487168552,0.13043795158622593,0.1418201441080694,0.23737789448683358,0.22858365953502685,0.28451291460072775,0.2039558191125271,0.15437201619114024,0.22059312744511853,0.20230523490431668,0.1910471042593586,0.26935469558494196,0.1910471042593586,0.14207608473840813,0.2557821361068492,0.2835161475043205,0.18268181278301268,0.19931806226303347,0.2776797105802411,0.22869160988869056,0.370211128669453,0.2407530231182769,0.19439768465973223,0.20625203882256427,0.3202960271139669,0.10868493118237676,0.1709596604180492,0.2979737164030799,0.20671813063021546
us16,0.139961400977042,0.1447561427192064,0.04374088826398532,0.23405167618730546,0.08249579113843056,0.17169354390726535,0.17340952014812952,0.1426930264617946,0.18394447891981205,0.15385862004696457,0.12302777961406071,0.23118030486422886,0.10606601717798214,0.08799551054765926,0.12771056164128824,0.0,0.10606601717798214,0.1612478658571134,0.2572355353492894,0.12636260071204045,0.09428090415820636,0.16364433849695156,0.24032386383025695,0.19414603975390632,0.13110744906159116,0.2636233227780675,0.2572355353492894,0.12177950120434985,0.31138094537761607,0.17693844413849702,0.2530716048527853,0.2566293695079306,0.2081658765716601,0.17886484286408075,0.26429961688255843,0.17383041704169294,0.11018848679480622,0.16494623814360643,0.27776534445208023,0.19347227207465262,0.23177388938892393,0.28278603230805066,0.16204530402191714,0.20292552944435674,0.3007923014162628,0.06678230711206283,0.17022941028565033,0.29168154723945083,0.09072184232530288
us17,0.08932367407845937,0.1692005512124953,0.15573185061846584,0.20521061877292135,0.15825723197984637,0.21409621985926022,0.24776797134433393,0.24739384077227755,0.20481875133434646,0.16396014549248666,0.20109277178111726,0.17049130168608978,0.06734350297014738,0.2290614427415152,0.20236145459368457,0.10606601717798214,0.0,0.2243823998916266,0.2600965433556758,0.08511470514282515,0.19782153997480795,0.22120470072833132,0.29032532391574656,0.28751693392613975,0.15713484026367722,0.32098449334844426,0.2735652439497053,0.12439841520874446,0.28891992357135116,0.07722017635192907,0.27541343619960945,0.20321690282595278,0.2084842612784146,0.1846334373098207,0.27718540976051875,0.18014387044514424,0.10534076028170389,0.17947043541544278,0.22726303828442523,0.18940789982277123,0.21802459086585219,0.3114637012369316,0.25043365167023557,0.21634240817180944,0.282415306693259,0.10141238927511198,0.20331204105586428,0.2788021022964101,0.21325081002335744
us18,0.2235964640282632,0.09780635466686591,0.18820204303636617,0.20844417585998,0.0864241621450225,0.16554864550777318,0.16554864550777318,0.20871264056002906,0.14717845346344913,0.2729608632028067,0.18820204303636617,0.2271907898812333,0.24903183275853333,0.15325681701128543,0.20521061877292135,0.1612478658571134,0.2243823998916266,0.0,0.2483114303359,0.17247419371798858,0.12963624321753375,0.2265864091343348,0.20117097825679683,0.12706767696733923,0.2243823998916266,0.16897352191392703,0.22992864993485465,0.0917154373783912,0.16063869832792982,0.25624165508090424,0.11907241805196005,0.17235402347032264,0.11410741377801024,0.20191826973882523,0.2663586274187184,0.12121830534626529,0.23390354081062453,0.1369288965336123,0.1706944957895014,0.11897352191392704,0.24095804749189473,0.28469031954776697,0.21696692455877975,0.16734633736496343,0.2464073416268496,0.17554206440885087,0.2370485698741589,0.3391291690816908,0.2704280102147618
us19,0.2568814181848263,0.18758455524553758,0.2077876061365818,0.18324676696017078,0.11111677990074317,0.1910471042593586,0.1604696267455741,0.08932367407845937,0.14839621904493194,0.15825723197984637,0.13043795158622593,0.27250132867360183,0.2600965433556758,0.250425389275779,0.14783502318684735,0.2572355353492894,0.2600965433556758,0.2483114303359,0.0,0.1519216695535915,0.10170463718138867,0.14954191661403787,0.16126161384635967,0.22217950907378192,0.20358671863729816,0.3145900372883776,0.2154136790185827,0.17194275824631758,0.24195375965877472,0.22516546136020002,0.2413520972771353,0.3031854492484761,0.15435493428382321,0.20743325931286982,0.2600576379789189,0.2743815897145367,0.27947667148737537,0.25968832836944944,0.14317949812924244,0.26983670345221733,0.38176016987935824,0.24023657294004475,0.1793956910303561,0.2529919944369685,0.2613704620150879,0.2960927653317324,0.23401867282126218,0.1991122904484024,0.1653745045041724
us20,0.1716288815403851,0.11696925099219646,0.16603380315616098,0.2574068573777884,0.08754655386119162,0.15096168582474706,0.15962013620662316,0.1622791356294524,0.12474375585492485,0.20595598707801335,0.12562770137407256,0.19838273583289248,0.15245820811297253,0.17013587764263624,0.16335114992049324,0.12636260071204045,0.08511470514282515,0.17247419371798858,0.1519216695535915,0.0,0.18952694413304733,0.1368516185357638,0.21630091787316388,0.2554025864560578,0.12683026392711091,0.25866381026279134,0.23630940597122801,0.07632263669950036,0.24355900240869974,0.13689940070602252,0.2319820132329211,0.29302536996470985,0.15064100247727016,0.11588694469446197,0.26432117480043227,0.22896791009850115,0.1611135590244693,0.24645851434213661,0.19854820175129717,0.18098706911248205,0.21802459086585219,0.2407530231182769,0.16204530402191714,0.1955316820571117,0.282415306693259,0.17439278363328667,0.23206971273392213,0.24737513424367474,0.1844931383452996
