,us01,us02,us03,us04,us05,us06,us07,us08,us09,us10,us11,us12,us13,us14,us15,us16,us17,us18,us19,us20,us21,us22,us23,us24,us25,us26,us27,us28,us29,us30,us31,us32,us33,us34,us35,us36,us37,us38,us39,us40,us41,us42,us43,us44,us45,us46,us47,us48,us49
us13,91.06763259215407,80.6150015920598,91.16116523516816,79.47893812270786,81.21634485798656,71.85602771705923,75.2232028655666,81.99496621978697,72.7837745695506,91.68520580716903,86.625073118903,82.95086983139102,100.0,83.82820602286321,82.22879782732223,89.39339828220179,93.26564970298527,75.09681672414666,73.99034566443243,84.75417918870275,76.52043107248319,84.6138802241816,70.96746760842535,77.98265690440076,77.55216567661753,64.20964311089625,65.90912530801474,80.82580818211082,64.37365734585015,85.54363206779236,69.99371309334839,79.67830971740473,76.68663058546787,81.53665626901793,80.3626793803658,73.67331358262541,85.77401641757028,79.09502451442691,77.27369617155748,77.36730246346355,68.09601546789268,68.85362987630683,74.95663483297645,74.67385162855973,81.8599947761962,92.81669301651762,75.05391145158941,80.20101012677668,88.77644444318636
us14,83.4073091292998,86.44586392960905,87.56393715689677,76.39786377483915,79.09502451442691,81.23355091149449,86.7575514358562,81.71838803843431,82.92471806339773,80.98668432809507,87.56393715689677,73.29161156850034,83.82820602286321,100.0,84.12366008780326,91.20044894523407,77.09385572584848,84.67431829887146,74.95746107242209,82.98641223573637,78.28819802544956,83.63556615030484,80.37324217285652,93.45271498901344,79.05804122914445,74.77457759911287,76.30433113182504,81.67695523353906,74.99487412962773,79.71276973024311,81.7280400439275,77.49604609080909,82.51749292301712,80.3626793803658,86.09356663666456,69.25389620020948,76.97446536280435,79.02099150762054,81.42441709740102,82.63131961229674,79.58650066217407,67.67965298765472,76.7244017859428,82.63131961229674,79.68802610769619,83.6243048610925,66.79866432108952,72.1219181943412,89.0005611815426
us15,77.07585740248479,84.26246472257151,90.32337998988478,80.39021330178804,84.17427680201537,82.49591109250447,80.73970706983118,85.22208347369161,81.92517784788853,82.6029283993786,90.32337998988478,77.54281241231612,82.22879782732223,84.12366008780326,100.0,87.22894383587118,79.76385454063154,79.47893812270786,85.21649768131526,83.66488500795067,86.34636512831449,86.9562048413774,85.81798558919306,76.26221055131664,77.14163404649732,71.54870853992723,79.60441808874728,84.56279838088598,77.94068725548814,79.76947650956834,80.89528957406414,73.06453044150581,80.89528957406414,85.79239152615918,74.42178638931509,71.64838524956795,81.73181872169873,80.06819377369665,72.23202894197588,77.13083901113094,62.978887133054705,75.92469768817232,80.56023153402678,79.37479611774357,67.97039728860331,89.13150688176232,82.90403395819507,70.20262835969201,79.32818693697845
us16,86.0038599022958,85.52438572807937,95.62591117360147,76.59483238126946,91.75042088615695,82.83064560927346,82.65904798518704,85.73069735382055,81.6055521080188,84.61413799530354,87.69722203859392,76.8819695135771,89.39339828220179,91.20044894523407,87.22894383587118,100.0,89.39339828220179,83.87521341428867,74.27644646507106,87.36373992879595,90.57190958417937,83.63556615030484,75.9676136169743,80.58539602460937,86.88925509384089,73.63766772219324,74.27644646507106,87.82204987956501,68.8619054622384,82.3061555861503,74.69283951472147,74.33706304920695,79.18341234283399,82.11351571359192,73.57003831174416,82.61695829583071,88.98115132051939,83.50537618563936,72.22346555479197,80.65277279253473,76.82261106110761,71.72139676919494,83.79546959780828,79.70744705556433,69.92076985837372,93.32176928879372,82.97705897143497,70.83184527605492,90.92781576746971
us17,91.06763259215407,83.07994487875047,84.42681493815341,79.47893812270786,84.17427680201537,78.59037801407398,75.2232028655666,75.26061592277225,79.51812486656536,83.60398545075134,79.89072282188828,82.95086983139102,93.26564970298527,77.09385572584848,79.76385454063154,89.39339828220179,100.0,77.56176001083735,73.99034566443243,91.48852948571748,80.2178460025192,77.87952992716687,70.96746760842534,71.24830660738603,84.28651597363228,67.90155066515557,72.64347560502948,87.56015847912555,71.10800764286489,92.27798236480709,72.45865638003906,79.67830971740473,79.15157387215854,81.53665626901793,72.28145902394813,81.98561295548558,89.46592397182961,82.05295645845571,77.27369617155748,81.05921001772288,78.19754091341477,68.85362987630683,74.95663483297645,78.36575918281905,71.7584693306741,89.8587610724888,79.66879589441356,72.11978977035899,78.67491899766425
us18,77.64035359717369,90.21936453331341,81.17979569636337,79.155582414002,91.35758378549775,83.44513544922269,83.44513544922269,79.1287359439971,85.28215465365508,72.70391367971934,81.17979569636337,77.28092101187667,75.09681672414666,84.67431829887146,79.47893812270786,83.87521341428867,77.56176001083735,100.0,75.16885696641,82.75258062820114,87.03637567824663,77.34135908656651,79.88290217432031,87.29323230326608,77.56176001083735,83.1026478086073,77.00713500651453,90.82845626216088,83.93613016720703,74.37583449190957,88.092758194804,82.76459765296774,88.58925862219897,79.80817302611747,73.36413725812815,87.87816946537347,76.60964591893756,86.30711034663877,82.93055042104986,88.10264780860729,75.90419525081053,71.5309680452233,78.30330754412202,83.26536626350367,75.35926583731504,82.4457935591149,76.2951430125841,66.08708309183092,72.95719897852382
us19,74.31185818151738,81.24154447544625,79.22123938634182,81.67532330398292,88.88832200992567,80.89528957406414,83.9530373254426,91.06763259215407,85.1603780955068,84.17427680201537,86.9562048413774,72.74986713263982,73.99034566443243,74.95746107242209,85.21649768131526,74.27644646507106,73.99034566443243,75.16885696641,100.0,84.80783304464086,89.82953628186114,85.0458083385962,83.87383861536404,77.7820490926218,79.64132813627019,68.54099627116224,78.45863209814173,82.80572417536824,75.80462403412253,77.48345386398,75.86479027228647,69.68145507515239,84.56450657161768,79.25667406871301,73.99423620210811,72.56184102854633,72.05233285126246,74.03116716305506,85.68205018707576,73.01632965477826,61.823983012064176,75.97634270599552,82.06043089696439,74.70080055630315,73.86295379849122,70.39072346682676,76.59813271787378,80.08877095515976,83.46254954958276
us20,82.83711184596149,88.30307490078036,83.3966196843839,74.25931426222117,91.24534461388085,84.90383141752528,84.03798637933768,83.77208643705475,87.52562441450752,79.40440129219867,87.43722986259274,80.16172641671075,84.75417918870275,82.98641223573637,83.66488500795067,87.36373992879595,91.48852948571748,82.75258062820114,84.80783304464086,100.0,81.04730558669526,86.31483814642363,78.36990821268361,74.45974135439421,87.3169736072889,74.13361897372086,76.3690594028772,92.36773633004996,75.64409975913003,86.31005992939775,76.80179867670789,70.69746300352901,84.93589975227297,88.4113055305538,73.56788251995677,77.10320899014988,83.88864409755307,75.35414856578633,80.14517982487028,81.90129308875179,78.19754091341477,75.92469768817232,83.79546959780828,80.44683179428883,71.7584693306741,82.56072163667133,76.79302872660779,75.26248657563252,81.55068616547004
us21,75.2300048920162,79.43106151541173,85.45898554510585,80.4030406356871,100.0,80.6895108788221,78.10517559084057,91.25182234720293,78.10517559084057,76.52043107248319,80.80409789630416,64.52974669477125,76.52043107248319,78.28819802544956,86.34636512831449,90.57190958417937,80.2178460025192,87.03637567824663,89.82953628186114,81.04730558669526,100.0,81.7489141872097,79.1663363561757,82.33843258980617,85.27626139607231,73.29501648944164,79.77654198684363,84.32561037850004,73.14644343614293,78.18064270225253,79.01507160216622,74.09412164556126,84.22072219907058,78.30255202611353,70.07549678921892,82.76006323964226,77.52593419570972,83.3313833227942,82.31114732268443,78.77785004628205,67.58928965747508,70.66653497491853,84.59624143331521,75.53387820470768,72.0058315110494,80.70302533073594,89.33727869639333,78.90767271378328,88.33576312960392
us22,78.26090790772776,83.32816749309995,90.34743124094554,81.99782454923871,89.46592397182961,80.31004246491882,82.69111631993474,97.38108599560537,82.93183546190103,82.77157644070603,94.38804141915439,82.58926010780408,84.6138802241816,83.63556615030484,86.9562048413774,83.63556615030484,77.87952992716687,77.34135908656651,85.0458083385962,86.31483814642363,81.7489141872097,100.0,83.7360905411069,77.94894065343321,82.58743408279781,70.70329698365525,70.98041395548277,87.82906482779107,74.4186419392483,78.97953049546291,73.23217544084117,71.59902991169704,86.91397761564565,90.36189506325076,83.48098503131935,67.70658071223936,77.81129429584388,76.89875772419506,80.15091362881839,69.22906953252009,60.67667808083637,74.6775977418176,84.47464284045049,76.07503914397994,83.33313390366818,75.9460402674328,73.25963806618664,84.52221823402779,88.16228145163562
